ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
11019,variation,,"Carteras - Martes 18hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:150,,,,,,2,TURNO,"Martes 18hs",,0
11007,variation,,"Lencería y Mallas - Martes 18hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:148,,,,,,2,Turno,"Martes 18hs",,0
10617,variation,,"Taller Libre Corte y Confeccion - pack x2",'-1,0,visible,,,,,taxable,parent,1,19,,0,1,,,,,0,,,6500,,,,,,,"taller libre corte y confeccion",,,,,,2,"OPCIÓN DE COMPRA","pack x2",,0
10073,variation,"indumentaria clase abierta","Clase Abierta Fin de Año - 15.15hs: indumentaria",'-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:10071,,,,,,2,Rubro,"15.15hs: indumentaria",,0
1038,variation,,"Promo Marzo Indumentaria Off - 2 NIVELES $6000",'-1,0,visible,,,,,taxable,parent,1,,,0,1,,,,,0,,,6000,,,,,,,"indumentaria PROMO MARZO",,,,,,2,"OPCIÓN DE COMPRA","2 NIVELES $6000",,0
959,variation,,"Pase Baulero - Pase Zoom libre",'-1,0,visible,,,,,taxable,parent,1,,,0,1,,,,,0,,,5000,,,,,,,pase,,,,,,2,Pase,"Pase Zoom libre",,0
499,variation,,"Deco Costura x Zoom - $2160 pack x4",'-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2160,,,,,,,"deco costura",,,,,,2,"Opción de compra","$2160 pack x4",,0
481,variation,,"Deco Kids - $2160 Pack x4",'-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2160,,,,,,,"deco bebe",,,,,,2,"OPCION DE COMPRA","$2160 Pack x4",,0
11216,simple,,"COSTURA & TEJIDO SOCIAL",'-1,0,visible,,,,,taxable,,1,5,,0,0,,,,,0,,,0,"Cursos Almagro, Cursos Almagro > Intensivos",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2024/07/producto-2.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2024/07/producto-2.jpg",,,,,,,,,3,,,,
11028,variation,,"Indumentaria - Miércoles 10hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:144,,,,,,3,Turno,"Miércoles 10hs",,0
11018,variation,,"Carteras - Miércoles 10hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:150,,,,,,3,TURNO,"Miércoles 10hs",,0
11009,variation,,"Lencería y Mallas - Jueves 10hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:148,,,,,,3,Turno,"Jueves 10hs",,0
10618,variation,,"Taller Libre Corte y Confeccion - pack x3",'-1,0,visible,,,,,taxable,parent,1,20,,0,1,,,,,0,,,9000,,,,,,,"taller libre corte y confeccion",,,,,,3,"OPCIÓN DE COMPRA","pack x3",,0
10074,variation,"lenceria clase abierta","Clase Abierta Fin de Año - 16hs: lencería y mallas",'-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:10071,,,,,,3,Rubro,"16hs: lencería y mallas",,0
1039,variation,,"Promo Marzo Indumentaria Off - 3 NIVELES $7500",'-1,0,visible,,,,,taxable,parent,1,,,0,1,,,,,0,,,7500,,,,,,,"indumentaria PROMO MARZO",,,,,,3,"OPCIÓN DE COMPRA","3 NIVELES $7500",,0
500,variation,,"Deco Costura x Zoom - $4080 pack x8",'-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4080,,,,,,,"deco costura",,,,,,3,"Opción de compra","$4080 pack x8",,0
480,variation,,"Deco Kids - $4080 Pack x8",'-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4080,,,,,,,"deco bebe",,,,,,3,"OPCION DE COMPRA","$4080 Pack x8",,0
11439,variable,,"Abc Overlock & Collareta",'-1,0,visible,,,,,taxable,,1,5,,0,1,,,,,0,,,,"Cursos Almagro, Cursos Almagro > Intensivos",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2025/02/overlock-producto-330x330-1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2025/02/overlock-interna1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2025/02/overlock-interna2-1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2025/02/overlock-interna3-1.jpg",,,,,,,,,4,Turno,"Miércoles 15hs",0,0
11026,variation,,"Indumentaria - Jueves 10hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:144,,,,,,4,Turno,"Jueves 10hs",,0
11017,variation,,"Carteras - Jueves 10hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:150,,,,,,4,TURNO,"Jueves 10hs",,0
11010,variation,,"Lencería y Mallas - Jueves 15hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:148,,,,,,4,Turno,"Jueves 15hs",,0
10619,variation,,"Taller Libre Corte y Confeccion - pack x4",'-1,0,visible,,,,,taxable,parent,1,20,,0,1,,,,,0,,,10500,,,,,,,"taller libre corte y confeccion",,,,,,4,"OPCIÓN DE COMPRA","pack x4",,0
11751,variable,,"Munecos ""especial navidad""",1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,,"Cursos Almagro, Cursos Ciudad Jardín, Cursos Ciudad Jardín > Intensivos, Cursos Almagro > Intensivos",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2025/11/producto-1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2025/11/interna1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2025/11/interna2.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2025/11/interna3.jpg",,,,,,,,,5,Sede,"Ciudad Jardín 5/12\, 10hs, Almagro 6/12\, 15.3hs",1,0
